SampleNumber,Test,Location,CollectDate,CollectTime,OrderDetails_User1,OrderDetails_User2,OrderDetails_User4,OrderDetails_User3,Result,Param,Results_Units,Site
250508006-001,TDP,,07-May-25,00-Jan-00,0.7,,A,,0.354,TDP,ugP/L,Field Blank
250508006-001,TP,,07-May-25,00-Jan-00,0.7,,A,,0.434,TP,ugP/L,Field Blank
250508006-001,tNH3,,07-May-25,00-Jan-00,0.7,,A,,0.494,tNH3,ugN/L,Field Blank
250508006-001,Alk,,07-May-25,00-Jan-00,0.7,,A,,1.950000,Alk,mg/L as CaCO3,Field Blank
250508006-001,TN,,07-May-25,00-Jan-00,0.7,,A,,11.855,TN,ugN/L,Field Blank
250508006-001,NOX,,07-May-25,00-Jan-00,0.7,,A,,-3.053,NOX,ugN/L,Field Blank
250508006-001,pH_L,,07-May-25,00-Jan-00,0.7,,A,,5.65,pH_L,,Field Blank
250508006-002,TDP,,07-May-25,00-Jan-00,0.7,,A,14.5,14.411,TDP,ugP/L,North-Bot-A
250508006-002,NOX,,07-May-25,00-Jan-00,0.7,,A,14.5,14.440,NOX,ugN/L,North-Bot-A
250508006-002,tNH3,,07-May-25,00-Jan-00,0.7,,A,14.5,2.817,tNH3,ugN/L,North-Bot-A
250508006-002,TN,,07-May-25,00-Jan-00,0.7,,A,14.5,239.370,TN,ugN/L,North-Bot-A
250508006-002,TP,,07-May-25,00-Jan-00,0.7,,A,14.5,32.062,TP,ugP/L,North-Bot-A
250508006-002,Alk,,07-May-25,00-Jan-00,0.7,,A,14.5,64.100000,Alk,mg/L as CaCO3,North-Bot-A
250508006-002,pH_L,,07-May-25,00-Jan-00,0.7,,A,14.5,7.44,pH_L,,North-Bot-A
250508006-003,NOX,,07-May-25,00-Jan-00,0.7,,B,14.5,-0.871,NOX,ugN/L,North-Bot-B
250508006-003,TDP,,07-May-25,00-Jan-00,0.7,,B,14.5,15.696,TDP,ugP/L,North-Bot-B
250508006-003,TN,,07-May-25,00-Jan-00,0.7,,B,14.5,209.612,TN,ugN/L,North-Bot-B
250508006-003,TP,,07-May-25,00-Jan-00,0.7,,B,14.5,27.519,TP,ugP/L,North-Bot-B
250508006-003,Alk,,07-May-25,00-Jan-00,0.7,,B,14.5,64.100000,Alk,mg/L as CaCO3,North-Bot-B
250508006-003,pH_L,,07-May-25,00-Jan-00,0.7,,B,14.5,7.44,pH_L,,North-Bot-B
250508006-003,tNH3,,07-May-25,00-Jan-00,0.7,,B,14.5,8.969,tNH3,ugN/L,North-Bot-B
250508006-004,tNH3,,07-May-25,00-Jan-00,0.7,,A,,17.250,tNH3,ugN/L,North-Epi
250508006-004,TP,,07-May-25,00-Jan-00,0.7,,A,,17.88,TP,ugP/L,North-Epi
250508006-004,TN,,07-May-25,00-Jan-00,0.7,,A,,225.889,TN,ugN/L,North-Epi
250508006-004,NOX,,07-May-25,00-Jan-00,0.7,,A,,-4.070,NOX,ugN/L,North-Epi
250508006-004,Alk,,07-May-25,00-Jan-00,0.7,,A,,62.150000,Alk,mg/L as CaCO3,North-Epi
250508006-004,TDP,,07-May-25,00-Jan-00,0.7,,A,,7.634,TDP,ugP/L,North-Epi
250508006-004,pH_L,,07-May-25,00-Jan-00,0.7,,A,,7.77,pH_L,,North-Epi
250508006-005,TDP,,07-May-25,00-Jan-00,0.7,,A,11,11.954,TDP,ugP/L,North-Hyp
250508006-005,NOX,,07-May-25,00-Jan-00,0.7,,A,11,-2.702,NOX,ugN/L,North-Hyp
250508006-005,TN,,07-May-25,00-Jan-00,0.7,,A,11,215.535,TN,ugN/L,North-Hyp
250508006-005,TP,,07-May-25,00-Jan-00,0.7,,A,11,22.799,TP,ugP/L,North-Hyp
250508006-005,Alk,,07-May-25,00-Jan-00,0.7,,A,11,64.100000,Alk,mg/L as CaCO3,North-Hyp
250508006-005,pH_L,,07-May-25,00-Jan-00,0.7,,A,11,7.65,pH_L,,North-Hyp
250508006-005,tNH3,,07-May-25,00-Jan-00,0.7,,A,11,73.335,tNH3,ugN/L,North-Hyp
250508006-006,tNH3,,07-May-25,00-Jan-00,0.7,,A,6,13.385,tNH3,ugN/L,North-Met
250508006-006,NOX,,07-May-25,00-Jan-00,0.7,,A,6,13.442,NOX,ugN/L,North-Met
250508006-006,TP,,07-May-25,00-Jan-00,0.7,,A,6,19.559,TP,ugP/L,North-Met
250508006-006,TN,,07-May-25,00-Jan-00,0.7,,A,6,250.705,TN,ugN/L,North-Met
250508006-006,Alk,,07-May-25,00-Jan-00,0.7,,A,6,64.100000,Alk,mg/L as CaCO3,North-Met
250508006-006,pH_L,,07-May-25,00-Jan-00,0.7,,A,6,7.78,pH_L,,North-Met
250508006-006,TDP,,07-May-25,00-Jan-00,0.7,,A,6,8.099,TDP,ugP/L,North-Met
250523002-001,TDP,,22-May-25,,2.3,,,,0.364,TDP,ugP/L,Field Blank
250523002-001,NOX,,22-May-25,,2.3,,,,0.645,NOX,ugN/L,Field Blank
250523002-001,TP,,22-May-25,,2.3,,,,2.322,TP,ugP/L,Field Blank
250523002-001,TN,,22-May-25,,2.3,,,,21.910,TN,ugN/L,Field Blank
250523002-001,tNH3,,22-May-25,,2.3,,,,3.210,tNH3,ugN/L,Field Blank
250523002-001,Alk,,22-May-25,,2.3,,,,3.900000,Alk,mg/L as CaCO3,Field Blank
250523002-001,pH_L,,22-May-25,,2.3,,,,5.75,pH_L,,Field Blank
250523002-002,NOX,,22-May-25,,2.3,,,18.5,17.689,NOX,ugN/L,North-Bot-A
250523002-002,TN,,22-May-25,,2.3,,,18.5,295.267,TN,ugN/L,North-Bot-A
250523002-002,tNH3,,22-May-25,,2.3,,,18.5,31.943,tNH3,ugN/L,North-Bot-A
250523002-002,TDP,,22-May-25,,2.3,,,18.5,35.731,TDP,ugP/L,North-Bot-A
250523002-002,TP,,22-May-25,,2.3,,,18.5,45.32,TP,ugP/L,North-Bot-A
250523002-002,Alk,,22-May-25,,2.3,,,18.5,65.100000,Alk,mg/L as CaCO3,North-Bot-A
250523002-002,pH_L,,22-May-25,,2.3,,,18.5,7.28,pH_L,,North-Bot-A
250523002-003,TN,,22-May-25,,2.3,,,18.5,316.697,TN,ugN/L,North-Bot-B
250523002-003,TDP,,22-May-25,,2.3,,,18.5,32.249,TDP,ugP/L,North-Bot-B
250523002-003,tNH3,,22-May-25,,2.3,,,18.5,35.459,tNH3,ugN/L,North-Bot-B
250523002-003,NOX,,22-May-25,,2.3,,,18.5,47.703,NOX,ugN/L,North-Bot-B
250523002-003,TP,,22-May-25,,2.3,,,18.5,49.569,TP,ugP/L,North-Bot-B
250523002-003,Alk,,22-May-25,,2.3,,,18.5,63.150000,Alk,mg/L as CaCO3,North-Bot-B
250523002-003,pH_L,,22-May-25,,2.3,,,18.5,7.30,pH_L,,North-Bot-B
250523002-004,TDP,,22-May-25,,2.3,,,,11.375,TDP,ugP/L,North-Epi
250523002-004,TP,,22-May-25,,2.3,,,,19.922,TP,ugP/L,North-Epi
250523002-004,NOX,,22-May-25,,2.3,,,,2.125,NOX,ugN/L,North-Epi
250523002-004,TN,,22-May-25,,2.3,,,,289.935,TN,ugN/L,North-Epi
250523002-004,Alk,,22-May-25,,2.3,,,,64.100000,Alk,mg/L as CaCO3,North-Epi
250523002-004,pH_L,,22-May-25,,2.3,,,,7.77,pH_L,,North-Epi
250523002-004,tNH3,,22-May-25,,2.3,,,,8.087,tNH3,ugN/L,North-Epi
250523002-005,NOX,,22-May-25,,2.3,,,17,107.317,NOX,ugN/L,North-Hyp
250523002-005,tNH3,,22-May-25,,2.3,,,17,22.029,tNH3,ugN/L,North-Hyp
250523002-005,TDP,,22-May-25,,2.3,,,17,25.219,TDP,ugP/L,North-Hyp
250523002-005,TN,,22-May-25,,2.3,,,17,291.778,TN,ugN/L,North-Hyp
250523002-005,TP,,22-May-25,,2.3,,,17,34.969,TP,ugP/L,North-Hyp
250523002-005,Alk,,22-May-25,,2.3,,,17,62.150000,Alk,mg/L as CaCO3,North-Hyp
250523002-005,pH_L,,22-May-25,,2.3,,,17,7.42,pH_L,,North-Hyp
250523002-006,TDP,,22-May-25,,2.3,,,16,22.337,TDP,ugP/L,North-Met
250523002-006,tNH3,,22-May-25,,2.3,,,16,24.433,tNH3,ugN/L,North-Met
250523002-006,TN,,22-May-25,,2.3,,,16,265.195,TN,ugN/L,North-Met
250523002-006,TP,,22-May-25,,2.3,,,16,31.533,TP,ugP/L,North-Met
250523002-006,NOX,,22-May-25,,2.3,,,16,6.292,NOX,ugN/L,North-Met
250523002-006,Alk,,22-May-25,,2.3,,,16,62.150000,Alk,mg/L as CaCO3,North-Met
250523002-006,pH_L,,22-May-25,,2.3,,,16,7.54,pH_L,,North-Met
250605003-001,NOX,,03-Jun-25,00-Jan-00,1.2,,,,0.185,NOX,ugN/L,Field Blank
250605003-001,TDP,,03-Jun-25,00-Jan-00,1.2,,,,0.997,TDP,ugP/L,Field Blank
250605003-001,TP,,03-Jun-25,00-Jan-00,1.2,,,,1.054,TP,ugP/L,Field Blank
250605003-001,TN,,03-Jun-25,00-Jan-00,1.2,,,,11.791,TN,ugN/L,Field Blank
250605003-001,tNH3,,03-Jun-25,00-Jan-00,1.2,,,,13.141,tNH3,ugN/L,Field Blank
250605003-001,Alk,,03-Jun-25,00-Jan-00,1.2,,,,2.950000,Alk,mg/L as CaCO3,Field Blank
250605003-001,pH_L,,03-Jun-25,00-Jan-00,1.2,,,,5.84,pH_L,,Field Blank
250605003-002,tNH3,,03-Jun-25,00-Jan-00,1.2,,A,18,11.480,tNH3,ugN/L,North-Bot-A
250605003-002,TDP,,03-Jun-25,00-Jan-00,1.2,,A,18,12.166,TDP,ugP/L,North-Bot-A
250605003-002,TP,,03-Jun-25,00-Jan-00,1.2,,A,18,21.958,TP,ugP/L,North-Bot-A
250605003-002,NOX,,03-Jun-25,00-Jan-00,1.2,,A,18,30.243,NOX,ugN/L,North-Bot-A
250605003-002,TN,,03-Jun-25,00-Jan-00,1.2,,A,18,303.934,TN,ugN/L,North-Bot-A
250605003-002,Alk,,03-Jun-25,00-Jan-00,1.2,,A,18,62.000000,Alk,mg/L as CaCO3,North-Bot-A
250605003-002,pH_L,,03-Jun-25,00-Jan-00,1.2,,A,18,7.85,pH_L,,North-Bot-A
250605003-003,TDP,,03-Jun-25,00-Jan-00,1.2,,B,18,12.806,TDP,ugP/L,North-Bot-B
250605003-003,TP,,03-Jun-25,00-Jan-00,1.2,,B,18,23.361,TP,ugP/L,North-Bot-B
250605003-003,TN,,03-Jun-25,00-Jan-00,1.2,,B,18,351.490,TN,ugN/L,North-Bot-B
